Matrix ID,Matrix Tag Comment,Matrix Type,Diff. Matrix Info.,Branch/Terr.,Home Branch,Bill To ID,Customer ID,Customer Name,Price Class,Outside Salesperson,Price Line,SellGroupAll,SellGroupMscAll,SellGroupMregAll,PROD_NBR,Product Description,Price Date Ovrd.,LIST,UMSP,CMP,STD-COST,REP-COST,AVG-COST,LASTCOST,Lnd Cost,Avg Lnd,Price Basis#,Price Formula,Qty Break Basis,Qty Break Formula,Qty Brk. Form Constant,Qty Break Points,Qty Break UOM,Qty Brk. Form Multplier,Split Qty,Cost Basis#,Cost Formula,Effective Date,Expire Date,Enable Rnding Rules
1040~159~36813~19815,,N,,1040,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,WATTS,WATTS,WATTS VACUUM,WATTS VACUUM,36813,WATTS 3/4 VAC RELIEF VLV LFN36M1,,132.500,0,148.929,6.777,6.580,6.580,6.580,6.580,6.580,28,GP-191.88,28,GP-191.88,0,,,34260655,N,,,04/01/2022,06/30/2022,N
1002~159~581029~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581029,REHAU 3/4X3/4X3/4 EVERLOC POLY TEE,,3.340,0,3.812,1.479,1.436,1.436,1.436,1.436,1.436,28,GP18.06,28,GP18.06,0,,,122040517,N,,,12/01/2021,06/30/2022,N
1002~159~609694~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,609694,REHAU 1-1/2X1-1/4X1-1/2 EVERLOC BRS,,104.830,0,110.960,46.429,45.077,45.077,45.077,45.077,45.077,28,GP13.22,28,GP13.22,0,,,115233925,N,,,12/01/2021,06/30/2022,N
1039~159~10443~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILLROSE,MILLROSE,MSC TAPE,TS,10443,MILLROS BLUE MONSTER TAPE 1X1429,,10.630,0,13.577,4.380,4.252,4.252,4.252,4.252,4.252,28,D0.796364,28,D0.796364,0,,,125570719,N,,,04/01/2022,06/30/2022,N
1039~159~64377~19805,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AQUATIC,AQUATIC,AQUATIC,LB,64377,AQTC 60X32X72 GEL SMTH WALL T&S,,1194.000,0,533.767,645.656,626.850,626.850,626.850,626.850,626.850,28,D0.993317,28,D0.993317,0,,,100672796,N,,,03/22/2022,06/30/2022,N
1039~159~54701~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,CODY,CODY,MSC DUCT WYES,DP5,54701,CODY 4X4X4 SGL WALL DUCT PIPE WYE,,24.591,0,17.766,9.837,9.550,9.550,9.550,9.550,9.550,1,$14.3240,1,$14.3240,14.32400,,,0,N,,,04/01/2022,06/30/2022,N
1002~159~581110~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581110,REHAU 1 EVERLOC PEXA SLEEVE,,1.100,0,1.134,0.487,0.473,0.473,0.473,0.473,0.473,28,GP-2.67,28,GP-2.67,0,,,97399435,N,,,12/01/2021,06/30/2022,N
1002~159~100311~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,FASTPART,FASTPART,FASTPART REFRIG,FQ6,100311,FSTPRT DRIER 163S S 1056378,,51.660,0,35.630,17.290,16.790,16.790,16.790,16.790,16.790,1,$21.090,1,$21.090,21.09000,,,0,N,,,04/11/2022,05/06/2022,N
1008~159~921807~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOPARTS,921807,AOSMTH FINAL BRNR ASSY NG 14 #37,,169.000,0,192.328,87.035,84.500,84.500,84.500,84.500,84.500,28,GP26.78,28,GP26.78,0,,,136574706,N,,,12/01/2021,06/30/2022,N
1044~159~604281~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,604281,MILWTL PACKOUT ROLLING ROOL BOX,,222.000,129.970,129.970,105.060,102.000,102.000,102.000,102.000,102.000,28,GP11.05,28,GP11.05,0,,,112422709,N,,,12/01/2021,06/30/2022,N
1044~159~6471~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,6471,MALCO ADJ/AUTO CUT-OFF TIE TOOL TY6,,88.191,0,97.790,44.095,42.811,42.811,42.811,42.811,42.811,28,GP12.47,28,GP12.47,0,,,114246544,N,,,12/01/2021,06/30/2022,N
1044~159~6218~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,6218,MALCO 3 HAND SEAMER S2R,,83.591,0,103.900,41.795,40.578,40.578,40.578,40.578,40.578,28,GP12.47,28,GP12.47,0,,,114246544,N,,,12/01/2021,06/30/2022,N
1002~159~1039635~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,1039635,REHAU STRAIGHT COPPER STUB  1/2 IN.,,18.650,0,20.530,8.261,8.020,8.020,8.020,8.020,8.020,28,GP14.21,28,GP14.21,0,,,116563702,N,,,12/01/2021,06/30/2022,N
1008~159~16201~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,16201,AOSMTH GAS CNTRL VLV NG 100112336,,240.000,0,273.845,123.600,120.000,120.000,120.000,120.000,120.000,28,GP22.3,28,GP22.3,0,,,128700129,N,,,12/01/2021,06/30/2022,N
1002~159~39542~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK5,39542,REHAU 1 RAUPEX TUBE 100FT COIL RED,,2.819,0,3.132,1.248,1.212,1.212,1.212,1.212,1.212,28,GP21.89,28,GP21.89,0,,,128024581,N,,,12/01/2021,06/30/2022,N
1029~159~941369~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,941369,MILWTL 1-5/8 PIPE CUTTER 48-22-4210,,95.600,58.990,62.970,42.271,41.040,41.040,41.040,41.040,41.040,5,*1.3423,5,*1.3423,0,,,134230000,N,,,04/01/2022,06/30/2022,N
1002~159~101658~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,JBII,JBII,MSC HVAC TOOLS,TI,101658,JB-IND R-410A LCKG CAP 4-PK SHLD-P4,,35.108,0,42.133,15.162,14.720,14.720,14.720,14.720,14.720,1,$21.660,1,$21.660,21.66000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~581121~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581121,REHAU 1-1/4X1 EVERLOC POLY CPL,,7.860,0,9.353,3.481,3.380,3.380,3.380,3.380,3.380,28,GP28.08,28,GP28.08,0,,,139043382,N,,,12/01/2021,06/30/2022,N
1075~159~45622~19694.1,,N,,1075,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,INSINK,INSINK,INSINK,DS,45622,INSINK BADGER 5 1/2HP GARBAGE,,187.800,187.800,127.098,91.881,89.205,89.205,89.205,89.205,89.205,4,*0.7201,4,*0.7201,0,,,72010000,N,,,12/01/2021,06/30/2022,N
1002~159~1498893~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,RECSEAL,RECSEAL,RECSEAL,RECSEAL,1498893,RECTORSEAL PRO-FIT 1/4IN QUIK CNECT,,22.583,0,16.007,9.033,8.770,8.770,8.770,8.770,8.770,5,GP30,5,GP30,0,,,142857143,N,,,12/01/2021,06/30/2022,N
1008~159~2826~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,2826,AOSMTH TSTAT NG 37C73U-273,,207.000,0,236.908,106.605,103.500,103.500,103.500,103.500,103.500,28,GP36.16,28,GP36.16,0,,,156641604,N,,,12/01/2021,06/30/2022,N
1029~159~2306~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL ACC,MTA,2306,MILWTL 6 24TPI 5PK THIN KERF,,15.600,15.000,11.850,6.232,6.050,6.050,6.050,6.050,6.050,5,*1.8181,5,*1.8181,0,,,181810000,N,,,04/01/2022,06/30/2022,N
1039~159~718824~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REFRIG,REFRIG,AGAS,AGAS,718824,REFRIG R421A 25LB CYLINDER R421A25,,948.682,0,450.240,368.420,368.420,368.420,368.420,368.420,368.420,4,$350.0000,4,$350.0000,350.00000,,,0,N,,,04/01/2022,06/30/2022,N
